#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,
mend_old_believer_schism;Mend the Old Believer Schism at last;;;;;;;;;;;;;x,,,
mend_old_believer_schism_desc;The Old Believer Schism occured close to the event in the Antedeluvian age and has since persisted post event in the depths of russia. If all the Orthodox holy sites could be claimed we could enforce the true method of orthodox worship.;;;;;;;;;;;;;x,
mend_orthodox_old_believer_schism;Mend the Old Believer Schism at last;;;;;;;;;;;;;x,,,
mend_orthodox_old_believer_schism_desc;The Old Believer Schism occured close to the event in the Antedeluvian age and has since persisted post event in the depths of russia. If all the Old believer holy sites could be claimed we could enforce the true method of orthodox worship.;;;;;;;;;;;;;x,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
EVTTOOLTIPMOBS.1;The Orthodox are brought into the church.;;;;;;;;;;;;;x,,,
EVTTOOLTIPMOBS.2;The Old believers are brought into the church.;;;;;;;;;;;;;x,,,
EVTNAMEMOBS.1;The Orthodox are brought into the church.;;;;;;;;;;;;;x,,,
EVTDESCMOBS.1;At last the Old Believer Schism with the Orthodox Church has been mended. With the spread of the [Root.Religion.GetName] faith, the Orthodox faith now holds little sway over true Christians. There will be those who still foolishly cling to it, but they will be few in number.;;;;;;;;;;;;;x
EVTDESCMOBS.11;At last the Old Believer Schism with the Orthodox Church has been mended. With the spread of the [From.Religion.GetName] faith, the Orthodox faith now holds little sway over true Christians. There will be those who still foolishly cling to it, but they will be few in number.;;;;;;;;;;;;;x
EVTNAMEMOBS.2;The Old Believers are brought into the church;;;;;;;;;;;;;x,,,
EVTDESCMOBS.2;The Old Believers have joined the Orthodox flock. With the spread of the [Root.Religion.GetName] faith, the Old Believer faith now holds little sway over true Christians. There will be those who foolishly still cling to it, but they will be few in number and the Patriarch can claim rule over a substantial amount of Christendom.;;;;;;;;;;;;;x
EVTDESCMOBS.21;The Old Believers have joined the Orthodox flock. With the spread of the [From.Religion.GetName] faith, the Old Believer faith now holds little sway over true Christians. There will be those who foolishly still cling to it, but they will be few in number and the Patriarch can claim rule over a substantial amount of Christendom.;;;;;;;;;;;;;x
