guillotine_master_1;Montagnard;;;;;;;x,,,
guillotine_master_1_desc;This character always tries to do the work which Montagnards did before the Event.;;;;;;;x,,,
guillotine_master_2;Robespierrist;;;;;;;x,,,
guillotine_master_2_desc;This character is one of the most zealous followers of the Prophet, and acts like him in the most pious ways possible.;;;;;;;x,,
guillotine_master_3;Model Citizen;;;;;;;x,,,
guillotine_master_3_desc;Due to his strict following of Madame Guillotine's will, this character is truely a model to all of her believers and probably would have been to all the citizen of the Republic before the Event.;;;;;;;x,,
madame_wants_strong;Madame Guillotine Desires The Strong;;;;;;;x,,,
madame_wants_weak;Madame Guillotine Desires The Weak;;;;;;;x,,,
madame_wants_smart;Madame Guillotine Desires The Smart;;;;;;;x,,,
madame_wants_dumb;Madame Guillotine Desires The Dumb;;;;;;;x,,,
madame_wants_virtue;Madame Guillotine Desires The Virtuous;;;;;;;x,,,
madame_wants_vice;Madame Guillotine Desires The Vicious;;;;;;;x,,,
madame_wants_attractive;Madame Guillotine Desires The Attractive;;;;;;;x,,,
madame_wants_unattractive;Madame Guillotine Desires The Unattractive;;;;;;;x,,,
madame_wants_diplomacy;Madame Guillotine Desires The Diplomats;;;;;;;x,,,
madame_wants_martial;Madame Guillotine Desires The Soldiers;;;;;;;x,,,
madame_wants_learning;Madame Guillotine Desires The Scholars;;;;;;;x,,,
madame_wants_intrigue;Madame Guillotine Desires The Spies;;;;;;;x,,,
madame_wants_stewardship;Madame Guillotine Desires The Stewards;;;;;;;x,,,
madame_wants_young;Madame Guillotine Desires The Young;;;;;;;x,,,
madame_wants_old;Madame Guillotine Desires The Old;;;;;;;x,,,
madame_wants_christian;Madame Guillotine Desires The Christians;;;;;;;x,,,
madame_wants_esoteric;Madame Guillotine Desires The Esoteric Believers;;;;;;;x,,,
madame_wants_pagan_group;Madame Guillotine Desires The Pagans;;;;;;;x,,,
madame_wants_jewish_group;Madame Guillotine Desires The Jews;;;;;;;x,,,
madame_wants_pirate;Madame Guillotine Desires The Pirates;;;;;;;x,,,
madame_wants_muslim;Madame Guillotine Desires The Muslims;;;;;;;x,,,
madame_wants_indian_group;Madame Guillotine Desires The Indians;;;;;;;x,,,
madame_wants_buddhist_group;Madame Guillotine Desires The Buddhists;;;;;;;x,,,
madame_wants_zoroastrian_group;Madame Guillotine Desires The Zoroastrians;;;;;;;x,,,
madame_wants_communist;Madame Guillotine Desires The Red Cultists;;;;;;;x,,,
madame_wants_zarist;Madame Guillotine Desires The Zarists;;;;;;;x,,,
madame_wants_nobelian;Madame Guillotine Desires The Nobelians;;;;;;;x,,,
madame_wants_ironist;Madame Guillotine Desires The Ironists;;;;;;;x,,,
madame_wants_khanist;Madame Guillotine Desires The Khanists;;;;;;;x,,,
madame_wants_jacobinist;Madame Guillotine Desires The Jacobinists;;;;;;;x,,,
madame_wants_female;Madame Guillotine Desires The Women;;;;;;;x,,,
madame_wants_male;Madame Guillotine Desires The Men;;;;;;;x,,,
madame_wants_strong_desc;;;;;;;;x,,,
madame_wants_weak_desc;;;;;;;;x,,,
madame_wants_smart_desc;;;;;;;;x,,,
madame_wants_dumb_desc;;;;;;;;x,,,
madame_wants_virtue_desc;;;;;;;;x,,,
madame_wants_vice_desc;;;;;;;;x,,,
madame_wants_attractive_desc;;;;;;;;x,,,
madame_wants_unattractive_desc;;;;;;;;x,,,
madame_wants_diplomacy_desc;;;;;;;;x,,,
madame_wants_martial_desc;;;;;;;;x,,,
madame_wants_learning_desc;;;;;;;;x,,,
madame_wants_intrigue_desc;;;;;;;;x,,,
madame_wants_stewardship_desc;;;;;;;;x,,,
madame_wants_young_desc;;;;;;;;x,,,
madame_wants_old_desc;;;;;;;;x,,,
madame_wants_christian_desc;;;;;;;;x,,,
madame_wants_esoteric_desc;;;;;;;;x,,,
madame_wants_pagan_group_desc;;;;;;;;x,,,
madame_wants_jewish_group_desc;;;;;;;;x,,,
madame_wants_pirate_desc;;;;;;;;x,,,
madame_wants_muslim_desc;;;;;;;;x,,,
madame_wants_indian_group_desc;;;;;;;;x,,,
madame_wants_buddhist_group_desc;;;;;;;;x,,,
madame_wants_zoroastrian_group_desc;;;;;;;;x,,,
madame_wants_communist_desc;;;;;;;;x,,,
madame_wants_zarist_desc;;;;;;;;x,,,
madame_wants_nobelian_desc;;;;;;;;x,,,
madame_wants_ironist_desc;;;;;;;;x,,,
madame_wants_khanist_desc;;;;;;;;x,,,
madame_wants_jacobinist_desc;;;;;;;;x,,,
madame_wants_female_desc;;;;;;;;x,,,
madame_wants_male_desc;;;;;;;;x,,,
accepted_culture;Accepted Culture;;;;;;;;x,,,
austria_hungary_hungarian_bonus;Tolerance Toward Hungarians;;;;;;;;x,,,
austria_hungary_austrian_bonus;Tolerance Toward Austrians;;;;;;;;x,,,
jacobinist_revolution_leader;Leading Jacobinist Revolution;;;;;;;;x,,,
tijaniyyah_school;Tijaniyyah;;;;;;;;x,,,
tijaniyyah_school_desc;The Tijaniyyah Order is easily the most popular Sufi school in Central Africa. Focussing on mysticism and repetitive chanting of sacred hymns and phrases, they are an inward-focused order.;;;;;;;;x,,
sanusiyya_school;Sanusiyya;;;;;;;;x,,,
sanusiyya_school_desc;The Sanussiya Order comes originally from North Africa, and is focussed on the defense of Islam from external oppression and corruption.;;;;;;;;x,,
qadiriyyah_school;Qadiriyyah;;;;;;;;x,,,
qadiriyyah_school_desc;This school is a decentralised order whose practices focus on closer adherence to traditional Sunni beliefs while still retaining many typical Sufi practices.;;;;;;;;x,,,
wahhabi_opinion;Wahhabi Opinion;;;;;;;;x,,,
mesopotamian_opinion;Mesopotamian Opinion;;;;;;;;x,,,
jugoslavist_opinion;Yugoslavist Opinion;;;;;;;;x,,,
gnostic_opinion;Einblicker Opinion;;;;;;;;x,,,
lutheran_opinion;Liturgical Opinion;;;;;;;;x,,,
vagarna_opinion;Vagarna Opinion;;;;;;;;x,,,
yugo_sided_with_jugo;Yugoslavist Emperor;;;;;;;;x,,,
yugo_sided_with_catholic;Catholic Emperor;;;;;;;;x,,,
yugo_sided_with_orthodox;Orthodox Emperor;;;;;;;;x,,,
yugo_sided_with_muslims;Muslim Emperor;;;;;;;;x,,,
aryasamajist_hindu;Arya Samaji;;;;;;;;x,,,
aryasamajist_hindu_desc;The Arya samajists are an almost monotheistic school of thought which emphasizes the importance of worshipping the Para Brahman, whom they refer to as "Aum". They are deeply commited to the cause of uniting India religiously, and are hence famous for their proselytism and missionary work.\n\n§GIncreases province conversion speed§!;;;;;;;;x,,,
savarkari_hindu;Shrauta;;;;;;;;x,,,
savarkari_hindu_desc;The Shrauta are a group of Hindu thinkers who hold the "Shruti" religious texts such as the Vedas and the Upanishads with the highest regard, and are known for studying them deeply in order to further their understanding of them and to apply the principles outlined within them in their daily lives. ;;;;;;;;x,,
barata_ganda_hindu;Bharata-Gandhian;;;;;;;;x,,,
barata_ganda_hindu_desc; The Bharata-Gandhian school reveres legendary indian monarchs, such as King Bharata, who slayed the demon Ghazni, and Gandhi, who expelled the demon Angrezi from the subcontinent. They are the most belligerent of all Bharatvists.;;;;;;;;x,,,
vaishna_ganda_hindu;Vaishnava-Gandhian;;;;;;;;x,,,
vaishna_ganda_hindu_desc;The Vaishnava-Gandhian school holds that Gandhi, or "Mahatma", was an avatar of Vishnu and was responsible for bringing about interreligious peace in India. They seek to follow his example, and are therefore known as some of the most tolerant among all Hindus.\n\n§GTolerates Christians, Muslims, Jews and Pagans.§!;;;;;;;;x
ramakrishna_hindu;Trimurtik;;;;;;;;x,,,
ramakrishna_hindu_desc;The Trimurtiks are a sect that reveres the three major gods of the hindu pantheon: Brahma the creator, Vishnu the preserver, and Shiva the destroyer. They seek to spread the worship of the Trimurti to every corner of India.\n\n§GIncreases province conversion speed§! ;;;;;;;;x,,
brahamo_hindu;Kuberist;;;;;;;;x,,,
brahamo_hindu_desc;The Kuberistic school chiefly worships Kubera, the god of fame, wealth and prosperity, and the protector of the earth.;;;;;;;;x,,
