zarist_crusader;White Guardsman;;;;;;;;;x
communist_crusader;Red Guardsman;;;;;;;;;x
esoteric_crusader;Alchemist;;;;;;;;;x
nobelian_crusader;Bringer of Peace;;;;;;;;;x
novelist_crusader;Son of Aslan;;;;;;;;;x
khanist_crusader;Son of Genghis;;;;;;;;;x
folklorist_crusader;Belyy Volk;;;;;;;;;x
celtic_pagan_crusader;Lú's own;;;;;;;;;x
occultist_crusader;Free Mason;;;;;;;;;x
americanist_crusader;Dragon Soldier;;;;;;;;;x
indian_crusader;Ghandi's Fist;;;;;;;;;x
crusader_maunaxite;Sparrow Reaper;;;;;;;;;x
maoist_crusader;Liberator;;;;;;;;;x
maoist_crusader_desc;This character has participated in a People's Liberation War and has carved out their own realm out of the lands of the enemies of the Heavenly Jade Chairman.;;;;;;;;;;;;;x
summer_queen_crusader;Round Table Knight;;;;;;;;;x
summer_queen_crusader_desc;This character has participated in a war in the name of the Summer Queen and the Winter King and has been made into a Knight of the Round Table.;;;;;;;;;;;;;x
