province;red;green;blue;x;x
1;42;3;128;Vestisland;x
2;84;6;1;Austisland;x
3;126;9;129;Tyrconnell;x
4;168;12;2;Tyrone;x
5;0;15;130;Ulster;x
6;168;45;177;Blekinge;x
7;84;21;131;Oriel;x
8;126;24;4;Breifne;x
9;168;27;132;Connacht;x
10;0;30;5;Kildare;x
11;42;33;133;Dublin;x
12;84;36;6;Ossory;x
13;126;39;134;Thomond;x
14;168;42;7;Desmond;x
15;0;45;135;Ormond;x
16;42;48;8;Leinster;x
17;84;51;136;Hereford;x
18;126;54;9;Dyfed;x
19;168;57;137;Glamorgan;x
20;0;60;10;Gwent;x
21;42;63;138;Gloucester;x
22;84;66;11;Oxford;x
23;126;69;139;Wiltshire;x #Salisbury
24;168;72;12;Surrey;x
25;0;75;140;Sussex;x
26;42;78;13;Winchester;x
27;126;84;14;Dorset;x
28;84;81;141;Somerset;x
29;168;87;142;Devon;x
30;0;90;15;Worcester;x
31;42;93;143;Cornwall;x
32;84;96;16;Middlesex;x
33;126;99;144;Streymoy;x
34;168;102;17;Shetland;x
35;0;105;145;Innse Gall;x
36;42;108;18;Orkney;x
37;84;111;146;Caithness;x
38;126;114;19;Teviotdale;x
39;168;117;147;Ross;x
40;0;120;20;Moray;x
41;42;123;148;Buchan;x
42;84;126;21;Strathearn;x
43;126;129;149;Gowrie;x
44;168;132;22;Atholl;x
45;0;135;150;Argyll;x
46;42;138;23;Fife;x
47;84;141;151;Clydesdale;x #Strathclyde
48;126;144;24;Lothian;x
49;168;147;152;Carrick;x
50;0;150;25;Galloway;x
51;42;153;153;Dunbar;x
52;84;156;26;Northumberland;x
53;126;159;154;Cumberland;x
54;168;162;27;Isle of Man;x
55;0;165;155;Westmorland;x
56;42;168;28;Durham;x
57;84;171;156;York;x
58;126;174;29;Lancaster;x
59;168;177;157;Chester;x
60;0;180;30;Perfeddwlad;x
61;42;183;158;Lincoln;x
62;84;186;31;Leicester;x
63;126;189;159;Derby;x
64;168;192;32;Gwynedd;x
65;0;195;160;Powys;x
66;42;198;33;Shrewsbury;x
67;84;201;161;Warwick;x
68;126;204;34;Northampton;x
69;168;207;162;Bedford;x
70;0;210;35;Norfolk;x
71;42;0;163;Suffolk;x
72;84;3;36;Essex;x
73;126;6;164;Kent;x
74;168;9;37;Guines;x
75;0;12;165;Boulogne;x
76;42;15;38;Yperen;x
77;84;18;166;Artois;x
78;126;21;39;Brugge;x
79;168;24;167;Zeeland;x
80;0;27;40;Holland;x
81;42;30;168;Westfriesland;x
82;84;33;41;Sticht;x
83;126;36;169;Gelre;x
84;168;39;42;Frisia;x
85;0;42;170;Ostfriesland;x
86;42;45;43;Oldenburg;x
87;84;48;171;Osnabruck;x
88;126;51;44;Munster;x
89;168;54;172;Kleve;x
90;0;57;45;Julich;x
91;42;60;173;Loon;x
92;84;63;46;Breda;x
93;126;66;174;Gent;x
94;168;69;47;Hainaut;x
95;0;72;175;Amiens;x
96;42;75;48;Eu;x
97;84;78;176;Arques;x
98;126;81;49;Vexin;x
99;168;84;177;Evreux;x
100;0;87;50;Avranches;x
101;42;90;178;Rennes;x
102;84;93;51;Penthievre;x
103;126;96;179;Leon;x
104;168;99;52;Cornouaille;x
105;0;102;180;Vannes;x
106;42;105;53;Nantes;x
107;84;108;181;Anjou;x
108;126;111;54;Maine;x
109;168;114;182;Vendome;x
110;0;117;55;Blois;x
111;42;120;183;Chartres;x
112;84;123;56;Ile de France;x
113;126;126;184;Vermandois;x
114;168;129;57;Reims;x
115;0;132;185;Luxembourg;x
116;42;135;58;Liege;x
117;84;138;186;Brabant;x
118;126;141;59;Trier;x
119;168;144;187;Koln;x
120;0;147;60;Gottingen;x
121;42;150;188;Nassau;x
122;84;153;61;Leiningen;x
123;126;156;189;Mainz;x
124;168;159;62;Pfalz;x
125;0;162;190;Baden;x
126;42;165;63;Nordgau;x
127;84;168;191;Lorraine;x
128;126;171;64;Metz;x
129;168;174;192;Verdun;x
130;0;177;65;Troyes;x
131;42;180;193;Sens;x
132;84;183;66;Auxerre;x
133;126;186;194;Saintois;x
134;168;189;67;Sundgau;x
135;0;192;195;Besancon;x
136;42;195;68;Dijon;x
137;84;198;196;Nevers;x
138;126;201;69;Orleans;x
139;168;204;197;Bourges;x
140;0;207;70;Tourraine;x
141;42;210;198;Poitiers;x
142;84;0;71;Thouars;x
143;126;3;199;Saintonge;x
144;168;6;72;Lusignan;x
145;0;9;200;La Marche;x
146;42;12;73;Bourbon;x
147;84;15;201;Limousin;x
148;126;18;74;Angouleme;x
149;168;21;202;Bordeaux;x
150;0;24;75;Albret;x
151;42;27;203;Labourd;x #Labourd
152;84;30;76;Navarra;x
153;126;33;204;Viscaya;x
154;168;36;77;Asturias de Santillana;x
155;0;39;205;Asturias de Oviedo;x
156;42;42;78;Coruna;x
157;84;45;206;Santiago;x
158;126;48;79;Porto;x
159;168;51;207;Coimbra;x
160;0;54;80;Lisboa;x
161;42;57;208;Alcacer do Sal;x
162;84;60;81;Silves;x
163;126;63;209;Faro;x
164;168;66;82;Niebla;x
165;0;69;210;Cadiz;x
166;42;72;83;Algeciras;x
167;84;75;211;Malaga;x
168;126;78;84;Almeria;x
169;168;81;212;Murcia;x
170;0;84;85;Denia;x
171;42;87;213;Valencia;x
172;84;90;86;Castellon;x
173;126;93;214;Tarragona;x
174;168;96;87;Albarracin;x
175;0;99;215;Calatayud;x
176;42;102;88;Molina;x
177;84;105;216;Cuenca;x
178;126;108;89;La Mancha;x
179;168;111;217;Almansa;x
180;0;114;90;Granada;x
181;42;117;218;Cordoba;x
182;84;120;91;Sevilla;x
183;126;123;219;Aracena;x
184;168;126;92;Badajoz;x
185;0;129;220;Mertola;x
186;42;132;93;Evora;x
187;84;135;221;Castelo Branco;x
188;126;138;94;Braganza;x
189;168;141;222;Astorga;x
190;0;144;95;Leon;x
191;42;147;223;Zamora;x
192;84;150;96;Salamanca;x
193;126;153;224;Alcantara;x
194;168;156;97;Plasencia;x
195;0;159;225;Caceres;x
196;42;162;98;Calatrava;x
197;84;165;226;Toledo;x
198;126;168;99;Valladolid;x
199;168;171;227;Burgos;x
200;0;174;0;Soria;x
201;42;177;128;Najera;x
202;84;180;1;Zaragoza;x
203;126;183;129;Lleida;x
204;168;186;2;Barcelona;x
205;0;189;130;Empuries;x
206;42;192;3;Urgell;x
207;84;195;131;Alto Aragon;x
208;126;198;4;Bearn;x
209;168;201;132;Armagnac;x
210;0;204;5;Foix;x
211;42;207;133;Rosello;x
212;84;210;6;Narbonne;x
213;126;0;134;Carcassonne;x
214;168;3;7;Toulouse;x
215;0;6;135;Agen;x
216;42;9;8;Perigord;x
217;84;12;136;Auvergne;x
218;126;15;9;Rouergue;x
219;168;18;137;Gevaudan;x
220;0;21;10;Montpellier;x
221;42;24;138;Provence;x
222;84;27;11;Venaissin;x
223;126;30;139;Viviers;x
224;168;33;12;Forez;x
225;0;36;140;Macon;x
226;42;39;13;Charolais;x
227;84;42;141;Lyon;x
228;126;45;14;Dauphine Viennois;x
229;168;48;142;Forcalquier;x
230;0;51;15;Nice;x
231;42;54;143;Saluzzo;x
232;84;57;16;Monferrato;x
233;126;60;144;Genoa;x
234;168;63;17;Pavia;x
235;0;66;145;Lombardia;x
236;42;69;18;Piemonte;x
237;84;72;146;Savoie;x
238;126;75;19;Valais;x
239;168;78;147;Geneve;x
240;0;81;20;Chalons;x
241;42;84;148;Neuchatel;x
242;84;87;21;Augstgau;x
243;126;138;49;Orvieto;x
244;168;93;22;Bern;x
245;0;96;150;Zurichgau;x
246;42;99;23;Schwyz;x
247;84;102;151;Chur;x
248;126;105;24;St Gallen;x
249;168;108;152;Schwaben;x
250;0;111;25;Breisgau;x #Här Avslutade Jag Igår
251;42;114;153;Furstenberg;x
252;84;117;26;Ulm;x
253;126;120;154;Wurttemberg;x
254;168;123;27;Franken;x
255;0;126;155;Thuringen;x
256;42;129;28;Weimar;x
257;84;132;156;Braunschweig;x
258;126;135;29;Luneburg;x
259;168;138;157;Celle;x
260;0;141;30;Mecklemburg;x
261;42;144;158;Hamburg;x
262;84;147;31;Lubeck;x
263;126;150;159;Holstein;x
264;168;153;32;Slesvig;x
265;0;156;160;Fyn;x
266;42;159;33;Sjaelland;x
267;84;162;161;Jylland;x
268;126;165;34;Agder;x
269;168;168;162;Rogaland;x
270;0;171;35;Telemark;x
271;42;174;163;Vestfold;x
272;84;177;36;Akershus;x
273;126;180;164;Oppland;x
274;168;183;37;Bergenshus;x
275;0;186;165;Nidaros;x
276;42;189;38;Hedmark;x
277;84;192;166;Naumadal;x
278;126;195;39;Halogaland;x
279;168;198;167;Lappland;x
280;0;201;40;Vasterbotten;x
281;42;204;168;Angermanland;x
282;84;207;41;Jamtland;x
